segment/predict: weights=['yolov5s-seg.pt'], source=data/video/Gurkenvideo.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=runs/predict-seg, name=exp, exist_ok=False, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1, retina_masks=False
YOLOv5 🚀 v7.0-365-g12b577c8 Python-3.10.12 torch-2.4.0+cu121 CUDA:0 (Tesla T4, 15102MiB)

Downloading https://github.com/ultralytics/yolov5/releases/download/v7.0/yolov5s-seg.pt to yolov5s-seg.pt...
100% 14.9M/14.9M [00:00<00:00, 32.7MB/s]

Fusing layers... 
YOLOv5s-seg summary: 224 layers, 7611485 parameters, 0 gradients, 26.4 GFLOPs
WARNING ⚠️ NMS time limit 0.550s exceeded
video 1/1 (7/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (9/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (10/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (11/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (12/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (14/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 bird, 1 cake, 12.3ms
video 1/1 (15/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 12.3ms
video 1/1 (16/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 bird, 1 cake, 12.3ms
video 1/1 (17/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 bird, 1 elephant, 1 cake, 12.3ms
video 1/1 (18/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (19/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (21/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 12.3ms
video 1/1 (22/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 1 cake, 13.1ms
video 1/1 (23/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 1 cake, 12.3ms
video 1/1 (24/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 1 cake, 12.3ms
video 1/1 (25/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (27/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.8ms
video 1/1 (28/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 banana, 12.3ms
video 1/1 (29/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
